Group Name,Group URL,Group Category,Group Type,Join Status
Irvine Moms,https://www.facebook.com/groups/585689121534743,South Orange County CA,private,1
Mission Viejo Connection,https://www.facebook.com/groups/295348977518787,South Orange County CA,private,1
"Laguna Niguel, CA Neighborhood Group",https://www.facebook.com/groups/1437122319893255,South Orange County CA,private,1
Lake Forest Connection,https://www.facebook.com/groups/339701546524458,South Orange County CA,private,1
Moms of Orange County,https://www.facebook.com/groups/1298210636861952,South Orange County CA,private,1
Ladera Ranch Referrals,https://www.facebook.com/groups/716882165111023,South Orange County CA,private,1
Residents of Laguna Hills in the OC,https://www.facebook.com/groups/1692762740958523,South Orange County CA,private,1
OC Moms Group,https://www.facebook.com/groups/164751073651286,South Orange County CA,private,1
Ladera Ranch Neighbors,https://www.facebook.com/groups/2204149443141504,South Orange County CA,private,1
Mission Viejo Moms,https://www.facebook.com/groups/307931466079801,South Orange County CA,private,1
Laguna Niguel Moms,https://www.facebook.com/groups/1069761199755135,South Orange County CA,private,1
El Toro aka Lake Forest Community Page,https://www.facebook.com/groups/398947293560895,South Orange County CA,public,1
"Newport Beach, CA",https://www.facebook.com/groups/787195641418432,South Orange County CA,public,1
Irvine Community Forum,https://www.facebook.com/groups/258031801293776,South Orange County CA,public,1
Ladera Ranch Connection,https://www.facebook.com/groups/328121477686019,South Orange County CA,private,1
"Lake Forest, California",https://www.facebook.com/groups/2247816573,South Orange County CA,public,1
Aliso Viejo Moms,https://www.facebook.com/groups/avmommies,South Orange County CA,private,1
Dana Point Unplugged,https://www.facebook.com/groups/DanaPointUnplugged,South Orange County CA,public,1
Irvine Residents Connect,https://www.facebook.com/groups/997811153593167,South Orange County CA,private,1
Lake Forest Moms,https://www.facebook.com/groups/LakeForestMoms,South Orange County CA,private,1
Las Flores Moms,https://www.facebook.com/groups/lasfloresmoms,South Orange County CA,private,1
Living Aliso Viejo,https://www.facebook.com/groups/1679659115583074,South Orange County CA,private,1
Moms of Irvine,https://www.facebook.com/groups/716456598465442,South Orange County CA,private,1
OC Mommy Group,https://www.facebook.com/groups/274340709365176,South Orange County CA,private,1
Official Ladera Ranch Moms,https://www.facebook.com/groups/LaderaRanchMoms,South Orange County CA,private,1
Orange County Moms,https://www.facebook.com/groups/orangecountymoms,South Orange County CA,private,1
Rancho Mission Viejo Moms,https://www.facebook.com/groups/587625651407243,South Orange County CA,private,1
"Rancho Santa Margarita, CA",https://www.facebook.com/groups/ranchosm,South Orange County CA,private,1
"Residents (and Friends) of Laguna Niguel, CA",https://www.facebook.com/groups/306369356240295,South Orange County CA,private,1
"Residents of Aliso Viejo, CA",https://www.facebook.com/groups/ResidentsOfAlisoViejo,South Orange County CA,private,1
"Residents of Mission Viejo, CA",https://www.facebook.com/groups/ResidentsOfMissionViejo,South Orange County CA,private,1
RSM Moms,https://www.facebook.com/groups/rsmmoms,South Orange County CA,private,1
San Clemente Life,https://www.facebook.com/groups/SCLifepage,South Orange County CA,public,1
San Juan Capistrano,https://www.facebook.com/groups/sanjuancapistranoca,South Orange County CA,public,1
South Orange County Moms,https://www.facebook.com/groups/SouthOrangeCountyMoms,South Orange County CA,private,1
Wagon Wheel Whisper,https://www.facebook.com/groups/WagonWheelWhisper,South Orange County CA,private,1
Mission Viejo Moms Club,https://www.facebook.com/groups/1557386684514719,South Orange County CA,public,1
