Group Name,Group URL,Group Category,Group Type,Join Status
Agoura-Westlake-Oak Park Locals,https://www.facebook.com/groups/917124781739756,LA,private,1
"All things Granada Hills, CA",https://www.facebook.com/groups/674304866103409,LA,private,1
Beverly Hills and L.A. West Neighborhoods Realtors,https://www.facebook.com/groups/547820418625040,LA,public,1
Calabasas Alive,https://www.facebook.com/groups/CalabasasAlive,LA,private,1
"Calabasas, CA (Unofficial Group)",https://www.facebook.com/groups/Calabasasgroup,LA,private,1
"Conejo Valley, California - Thousand Oaks, Newbury Park, Westlake, Agoura",https://www.facebook.com/groups/173700550112698,LA,private,1
DTLA,https://www.facebook.com/groups/1dtla,LA,private,1
LA Moms,https://www.facebook.com/groups/1878196275586237,LA,private,1
LA Moms Uncensored,https://www.facebook.com/groups/450952588828928,LA,private,1
Ladies of Los Angeles,https://www.facebook.com/groups/ladiesoflosangeles,LA,private,1
Los Angeles Mommies.,https://www.facebook.com/groups/337053376629498,LA,private,1
Moms Of Calabasas,https://www.facebook.com/groups/momsofcalabasasgroup,LA,private,1
Moms of Culver City,https://www.facebook.com/groups/1005717869459318,LA,private,1
"Moms of Porter Ranch, Chatsworth, Northridge, and Granada Hills",https://www.facebook.com/groups/699737687457752,LA,private,1
Moving to L.A.,https://www.facebook.com/groups/683306318783872,LA,private,1
"Rancho Palos Verdes, CA",https://www.facebook.com/groups/244953080822,LA,private,1
Santa Clarita Community,https://www.facebook.com/groups/santaclaritacommunity,LA,private,1
Valley Village/Studio City/North Hollywood/Sherman Oaks/Valley Glen News,https://www.facebook.com/groups/ValleyNews,LA,private,1
Venice (California) Community,https://www.facebook.com/groups/524198957654188,LA,private,1
West LA Moms,https://www.facebook.com/groups/westlamoms,LA,private,1
West Los Angeles,https://www.facebook.com/groups/1545417705669788,LA,private,1
Westlake Village Living,https://www.facebook.com/groups/WestlakeVillageLiving,LA,private,1
WH MAMAS,https://www.facebook.com/groups/WHMAMAS,LA,private,1
